index,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3623,8 Simple Rules... for Dating My Teenage Daughter,2005,7.0,24726,Comedy; Drama,30,Series,TV-PG,76,Mild,Mild,Mild,Mild,None
3624,Empire of the Sun,1987,7.7,120531,Action; Drama; History,153,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
3625,Outbreak,1995,6.6,125115,Action; Drama; Thriller,127,Film,R,-,None,Moderate,Moderate,None,Moderate
3626,Dream House,2011,6.0,65324,Drama; Mystery; Thriller,84,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
3627,Dog Day Afternoon,1975,8.0,246494,Biography; Crime; Drama,125,Film,R,-,None,Moderate,Severe,Mild,Mild
3628,Knocked Up,2007,6.9,359433,Comedy; Romance,129,Film,R,-,Severe,None,Severe,Severe,Mild
3629,Zone Blanche,2007,7.5,9359,Crime; Drama; Horror,52,Series,TV-MA,16,Mild,Moderate,No Rate,Mild,No Rate
3630,What Dreams May Come,1998,7.0,105929,Drama; Fantasy; Romance,113,Film,PG-13,-,Mild,Mild,Moderate,None,Moderate
3631,Kôkaku Kidôtai,1995,8.0,136141,Animation; Action; Crime,83,Film,TV-MA,-,Moderate,Moderate,Moderate,Mild,Moderate
3632,Party of Five,1995,6.8,9916,Drama; Family,60,Series,TV-PG,143,Mild,None,Mild,Moderate,None
3633,Sex and the City 2,2010,4.5,76717,Comedy; Drama; Romance,146,Film,R,-,Moderate,None,Moderate,Mild,None
3634,Code 8,2019,6.1,37309,Action; Crime; Drama,98,Film,Not Rated,-,Mild,Moderate,Severe,Moderate,Moderate
3635,Begin Again,2013,7.4,149572,Comedy; Drama; Music,104,Film,R,-,None,None,Moderate,Mild,None
3636,Black Christmas,1974,7.2,36911,Horror; Mystery; Thriller,98,Film,R,-,Mild,Moderate,Severe,Mild,Severe
3637,Circle,2015,6.0,50827,Drama; Horror; Mystery,87,Film,Not Rated,-,None,Mild,Moderate,None,Mild
3638,Scooby-Doo and Guess Who?,2015,7.3,1094,Animation; Comedy; Family,22,Series,TV-PG,54,None,None,None,None,Mild
3639,My Big Fat Greek Wedding,2002,6.6,125219,Comedy; Drama; Romance,95,Film,PG,-,Mild,None,Mild,Mild,None
3640,The Dukes of Hazzard,2002,7.1,12450,Action; Comedy,60,Series,TV-PG,146,Mild,No Rate,None,Mild,Mild
3641,All the Bright Places,2020,6.5,25843,Drama; Romance,107,Film,TV-MA,-,Mild,Mild,Moderate,None,Moderate
3642,Tolkien,2019,6.8,36951,Biography; Drama; Romance,112,Film,PG-13,-,None,Moderate,None,Mild,Mild
3643,Equilibrium,2002,7.4,318971,Action; Drama; Sci-Fi,107,Film,R,-,None,Moderate,Mild,Mild,Moderate
3644,Devious Maids,2002,7.8,22945,Comedy; Drama; Mystery,60,Series,TV-PG,49,Moderate,No Rate,No Rate,No Rate,No Rate
3645,Nine 1/2 Weeks,1986,6.0,39512,Drama; Romance,117,Film,R,-,Moderate,Mild,Mild,Mild,Mild
3646,The Mortuary Collection,2019,6.4,10365,Fantasy; Horror,108,Film,Not Rated,-,Moderate,Severe,Mild,Mild,Moderate
3647,Stronger,2017,6.9,43105,Biography; Drama,119,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
3648,Ghost World,2001,7.3,117873,Comedy; Drama,111,Film,R,-,Mild,None,Moderate,Mild,None
3649,Frida,2002,7.4,85672,Biography; Drama; Romance,123,Film,R,-,Severe,Mild,Mild,Moderate,Mild
3650,The Boss Baby,2017,6.3,117693,Animation; Adventure; Comedy,97,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3651,Piranha 3D,2010,5.4,88336,Comedy; Fantasy; Horror,88,Film,R,-,Severe,Severe,Severe,Severe,Severe
3652,The Mist,2017,5.4,23670,Drama; Horror; Mystery,42,Series,TV-14,10,Moderate,Severe,Moderate,Mild,Moderate
3653,Unsane,2018,6.4,43944,Drama; Horror; Mystery,98,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
3654,Donnie Brasco,1997,7.7,292084,Biography; Crime; Drama,127,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
3655,The Outer Limits,1997,7.7,12025,Drama; Fantasy; Horror,44,Series,TV-PG,152,Severe,Severe,Severe,Severe,Moderate
3656,City Slickers,1991,6.8,53176,Comedy; Western,113,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
3657,xXx: Return of Xander Cage,2017,5.2,89100,Action; Adventure; Thriller,107,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
3658,Babel,2006,7.4,295983,Drama,143,Film,R,-,Severe,Moderate,Moderate,Moderate,Moderate
3659,A Monster Calls,2016,7.5,84879,Adventure; Drama; Family,108,Film,PG-13,-,None,Mild,None,None,Moderate
3660,Dorian Gray,2009,6.2,62774,Drama; Fantasy; Mystery,112,Film,R,-,Severe,Severe,Mild,Moderate,Moderate
3661,Siren,2009,7.0,13040,Drama; Fantasy,60,Series,TV-PG,36,Mild,Mild,None,Mild,Mild
3662,Gyeongiroun Somun,2009,8.1,4103,Action; Fantasy; Horror,65,Series,TV-14,16,None,Severe,None,None,Severe
3663,Scooby-Doo 2: Monsters Unleashed,2004,5.1,53616,Adventure; Comedy; Family,93,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3664,MILF,2018,4.7,5438,Comedy,101,Film,TV-MA,-,Moderate,None,Mild,Mild,None
3665,Along Came Polly,2004,6.0,131828,Comedy; Romance,90,Film,PG-13,-,Mild,None,Mild,Mild,None
3666,Pacific Rim: Uprising,2018,5.6,111681,Action; Adventure; Sci-Fi,111,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
3667,Robot Chicken,2018,7.7,41398,Animation; Short; Adventure,11,Series,TV-MA,219,Severe,Severe,Severe,Moderate,Moderate
3668,Cars 2,2011,6.1,172513,Animation; Adventure; Comedy,106,Film,G,-,None,Moderate,None,Mild,Moderate
3669,The Lost City of Z,2016,6.6,85124,Biography; Drama,141,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3670,Child 44,2015,6.5,68778,Crime; Drama; History,137,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
3671,Paul,2011,7.0,243738,Adventure; Comedy; Sci-Fi,104,Film,R,-,Mild,Mild,Severe,Moderate,Mild
3672,The Beta Test,2021,6.9,128,Horror; Thriller,93,Film,Unrated,-,Mild,None,Moderate,Mild,None
3673,RuPaul's Drag Race,2021,8.4,17543,Game-Show; Reality-TV,63,Series,TV-14,179,Mild,None,Moderate,Mild,None
3674,Hancock,2008,6.4,460654,Action; Drama; Fantasy,92,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate
3675,Hanna,2011,6.8,194732,Action; Adventure; Drama,111,Film,PG-13,-,Mild,Moderate,Moderate,None,Moderate
3676,Nightbreed,1990,6.5,21635,Action; Fantasy; Horror,102,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
3677,The Afterparty,1990,0.0,0,Comedy,0,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
3678,State of Play,2009,7.1,147986,Crime; Drama; Mystery,127,Film,PG-13,-,None,Moderate,Moderate,Mild,Mild
3679,Sexy Beasts,2009,4.6,954,Reality-TV; Romance,0,Series,TV-14,12,No Rate,No Rate,No Rate,No Rate,No Rate
3680,Spawn,1997,5.2,66200,Action; Drama; Horror,96,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3681,Rebecca,1940,8.1,131430,Drama; Mystery; Romance,130,Film,Approved,-,None,Mild,None,Mild,Mild
3682,The Strangers: Prey at Night,2018,5.2,29360,Horror,85,Film,R,-,None,Severe,Moderate,Mild,Severe
3683,Gyakkyô burai Kaiji,2018,8.3,2651,Animation; Action; Thriller,23,Series,TV-14,52,Mild,Severe,Moderate,Moderate,Severe
3684,First Reformed,2017,7.1,52356,Drama; Mystery; Thriller,113,Film,R,-,None,Moderate,Mild,Moderate,Moderate
3685,Growing Pains,2017,6.6,14337,Comedy; Family,30,Series,TV-G,167,Severe,No Rate,No Rate,No Rate,No Rate
3686,Jay and Silent Bob Reboot,2019,5.7,23109,Action; Adventure; Comedy,105,Film,R,-,Mild,Mild,Severe,Severe,None
3687,The Darjeeling Limited,2007,7.2,189129,Adventure; Comedy; Drama,91,Film,R,-,Mild,Mild,Moderate,Mild,Mild
3688,The Giver,2014,6.5,115430,Drama; Romance; Sci-Fi,97,Film,PG-13,-,None,Moderate,None,None,Mild
3689,The Lords of Salem,2012,5.2,29093,Horror; Thriller,101,Film,R,-,Severe,Severe,Severe,Severe,Severe
3690,The Snowman,2017,5.1,61188,Crime; Drama; Thriller,119,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
3691,Marry Me,2022,0.0,0,Comedy; Music; Romance,112,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
3692,Riddick,2013,6.4,159576,Action; Sci-Fi; Thriller,119,Film,R,-,Moderate,Severe,Severe,Mild,Severe
3693,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,174970,Biography; Crime; Drama,160,Film,R,-,Mild,Severe,Mild,Mild,Moderate
3694,Honey Boy,2019,7.3,33212,Drama,94,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
3695,Nailed It!,2019,7.4,4400,Game-Show; Reality-TV,33,Series,TV-PG,39,Mild,None,Mild,Mild,None
3696,Violation,2020,5.3,3077,Drama; Horror,107,Film,Unrated,-,Severe,Severe,Moderate,Mild,Severe
3697,Saw III,2006,6.2,186221,Crime; Horror; Mystery,108,Film,R,-,Moderate,Severe,Severe,Mild,Severe
3698,Mob Psycho 100,2006,8.6,21633,Animation; Action; Comedy,24,Series,TV-14,25,Mild,Moderate,Mild,None,Moderate
3699,Paris Texas,1984,8.1,99578,Drama,145,Film,R,-,Mild,None,Mild,Mild,None
3700,One Night in Miami...,2020,7.1,29128,Drama,114,Film,R,-,None,Mild,Moderate,Mild,None
3701,Penny Dreadful: City of Angels,2020,6.0,8953,Crime; Drama; Fantasy,0,Series,TV-MA,10,Moderate,Severe,Moderate,Moderate,Moderate
3702,Definitely Maybe,2008,7.1,160856,Comedy; Drama; Romance,112,Film,PG-13,-,Mild,None,Mild,Mild,None
3703,Say Anything...,1989,7.3,86234,Comedy; Drama; Romance,100,Film,PG-13,-,Mild,None,Mild,Mild,None
3704,Soleil rouge,1971,6.9,8873,Action; Western,112,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
3705,Werk ohne Autor,2018,7.8,19092,Biography; Drama; Romance,189,Film,R,-,Severe,Mild,Mild,Mild,Moderate
3706,Criminal: UK,2018,7.6,16556,Crime; Drama; Mystery,43,Series,TV-MA,7,Mild,None,Moderate,Mild,None
3707,Kin,2018,5.8,16160,Action; Drama; Sci-Fi,102,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate
3708,Funny Games,2007,6.6,94058,Crime; Drama; Thriller,111,Film,R,-,Mild,Moderate,Moderate,Mild,Severe
3709,Wild Mountain Thyme,2020,5.7,5931,Comedy; Drama; Romance,102,Film,PG-13,-,None,None,Mild,Mild,None
3710,Rebel Without a Cause,1955,7.7,87109,Drama,111,Film,PG-13,-,None,Moderate,None,Mild,Moderate
3711,Blade,1955,0.0,0,Action; Adventure; Fantasy,0,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3712,False Positive,2021,4.7,4037,Horror; Mystery; Thriller,92,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
3713,Seven Psychopaths,2012,7.2,249055,Comedy; Crime,110,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
3714,Julie and the Phantoms,2012,8.5,8198,Short; Adventure; Comedy,0,Series,TV-G,9,None,None,None,None,None
3715,Switched at Birth,2012,7.7,24324,Drama; Family; Romance,60,Series,TV-14,105,Mild,Mild,Mild,Moderate,Mild
3716,Too Hot to Handle,2012,4.6,10616,Game-Show; Reality-TV; Romance,40,Series,TV-MA,20,Moderate,None,Mild,Mild,None
3717,Mary Queen of Scots,2018,6.3,46936,Biography; Drama; History,124,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
3718,Escape from Pretoria,2020,6.8,30790,Thriller,106,Film,PG-13,-,None,Mild,Mild,None,Moderate
3719,Blithe Spirit,2020,5.4,4952,Comedy; Fantasy; Romance,99,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
